val_loss,val_trace_loss,val_diag_loss,val_off_loss,val_tensor_loss,epoch,step,train_loss,train_trace_loss,train_diag_loss,train_off_loss,train_tensor_loss,lr,loss
59.092750549316406,18.062339782714844,58.9379997253418,0.07717005908489227,59.092750549316406,0,83,,,,,,,
,,,,,0,83,122.08061218261719,37.96425247192383,121.453857421875,0.2993253171443939,122.08061218261719,9.999991743825376e-05,
33.089622497558594,9.394052505493164,32.927024841308594,0.08108416944742203,33.089622497558594,1,167,,,,,,,
,,,,,1,167,60.88916015625,17.537569046020508,60.24406051635742,0.30850839614868164,60.88916015625,9.999991743825376e-05,
32.63496398925781,9.279095649719238,32.48190689086914,0.07631796598434448,32.63496398925781,2,251,,,,,,,
,,,,,2,251,44.59496307373047,12.14498233795166,43.94893264770508,0.30896127223968506,44.59496307373047,9.999991743825376e-05,
27.503143310546875,7.580957889556885,27.3524227142334,0.07514840364456177,27.503143310546875,3,335,,,,,,,
,,,,,3,335,42.192626953125,11.378316879272461,41.55645751953125,0.3040323555469513,42.192626953125,9.999991743825376e-05,
25.36309051513672,6.874102592468262,25.212661743164062,0.07500361651182175,25.36309051513672,4,419,,,,,,,
,,,,,4,419,39.73857498168945,10.574124336242676,39.10490798950195,0.3027779757976532,39.73857498168945,9.999991743825376e-05,
,,,,,5,420,,,,,,,0.4318067133426666
